instruction,output
What is Ruby?,"Ruby is a high-level, interpreted programming language that blends Perl, Smalltalk, Eiffel, Ada, and Lisp. Ruby focuses on simplicity and productivity along with a syntax that reads and writes naturally. Ruby supports procedural, object-oriented and functional programming and is dynamically typed. Context: https://www.ruby-lang.org/en/, https://www.ruby-lang.org/en/documentation/quickstart/, https://thenewstack.io/ruby-a-programmers-best-friend/, https://www.youtube.com/playlist?list=PL_EzhIKp343lBMH4UuklrMRL_WkilGoXe, https://app.daily.dev/tags/ruby?ref=roadmapsh"
What is Java?,"Java is general-purpose language, primarily used for Internet-based applications. It was created in 1995 by James Gosling at Sun Microsystems and is one of the most popular options for backend developers. Context: https://www.java.com/en/, https://www.w3schools.com/java/, https://www.youtube.com/watch?v=eIrMbAQSU34, https://www.youtube.com/watch?v=xk4_1vDrzzo, https://app.daily.dev/tags/java?ref=roadmapsh"
What is C#?,"C# (pronounced “C sharp”) is a general purpose programming language made by Microsoft. It is used to perform different tasks and can be used to create web apps, games, mobile apps, etc. Context: https://learn.microsoft.com/en-us/training/paths/get-started-c-sharp-part-1/?WT.mc_id=dotnet-35129-website, https://www.w3schools.com/cs/index.php, https://learn.microsoft.com/en-us/shows/csharp-for-beginners/?WT.mc_id=Educationalcsharp-c9-scottha, https://www.youtube.com/watch?v=gfkTfcpWqAY&list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef, https://app.daily.dev/tags/c###########################?ref=roadmapsh"
What is PHP?,"PHP is a general purpose scripting language often used for making dynamic and interactive Web pages. It was originally created by Danish-Canadian programmer Rasmus Lerdorf in 1994. The PHP reference implementation is now produced by The PHP Group and supported by PHP Foundation. PHP supports procedural and object-oriented styles of programming with some elements of functional programming as well. Context: https://www.php.net/, https://www.w3schools.com/php/, https://phptherightway.com/, https://www.youtube.com/watch?v=U2lQWR6uIuo&list=PL3VM-unCzF8ipG50KDjnzhugceoSG3RTC, https://www.youtube.com/watch?v=2eebptXfEvw, https://www.youtube.com/watch?v=sVbEyFZKgqk&list=PLr3d3QYzkw2xabQRUpcZ_IBk9W50M9pe-, https://app.daily.dev/tags/php?ref=roadmapsh"
What is Rust?,"Rust is a modern systems programming language focusing on safety, speed, and concurrency. It accomplishes these goals by being memory safe without using garbage collection. Context: https://doc.rust-lang.org/book/, https://doc.rust-lang.org/stable/rust-by-example/index.html, https://thenewstack.io/rust-by-the-numbers-the-rust-programming-language-in-2021/, https://app.daily.dev/tags/rust?ref=roadmapsh"
What is Intro to Version Control Systems?,"Version control/source control systems allow developers to track and control changes to code over time. These services often include the ability to make atomic revisions to code, branch/fork off of specific points, and to compare versions of code. They are useful in determining the who, what, when, and why code changes were made. Context: https://www.atlassian.com/git/tutorials/what-is-version-control, https://git-scm.com/"
What is Git?,"Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency. Context: https://learn.microsoft.com/en-us/training/modules/intro-to-git/, https://www.atlassian.com/git, https://cs.fyi/guide/git-cheatsheet, https://learngitbranching.js.org/, https://www.w3schools.com/git/, https://www.youtube.com/watch?v=SWYqp7iY_Tc, https://app.daily.dev/tags/git?ref=roadmapsh"
What is Intro to Repo Hosting Services?,"When working on a team, you often need a remote place to put your code so others can access it, create their own branches, and create or review pull requests. These services often include issue tracking, code review, and continuous integration features. A few popular choices are GitHub, GitLab, BitBucket, and AWS CodeCommit. Context: https://github.com/features/, https://about.gitlab.com/, https://bitbucket.org/product/guides/getting-started/overview#a-brief-overview-of-bitbucket, https://blockandcapital.com/en/choose-code-repository/"
What is GitHub?,"GitHub is a provider of Internet hosting for software development and version control using Git. It offers the distributed version control and source code management functionality of Git, plus its own features. Context: https://github.com/, https://docs.github.com/en/get-started/start-your-journey, https://ooloo.io/project/github-flow, https://learngitbranching.js.org/?locale=en_us, https://www.youtube.com/watch?v=w3jLJU7DT5E, https://www.youtube.com/watch?v=wpISo9TNjfU, https://www.youtube.com/watch?v=RGOj5yH7evk, https://www.youtube.com/watch?v=eulnSXkhE7I, https://app.daily.dev/tags/github?ref=roadmapsh"
What is GitLab?,"GitLab is a provider of internet hosting for software development and version control using Git. It offers the distributed version control and source code management functionality of Git, plus its own features. Context: https://about.gitlab.com/, https://docs.gitlab.com/, https://app.daily.dev/tags/gitlab?ref=roadmapsh"
What is Bitbucket?,"Bitbucket is a Git based hosting and source code repository service that is Atlassian’s alternative to other products like GitHub, GitLab etc.Bitbucket offers hosting options via Bitbucket Cloud (Atlassian’s servers), Bitbucket Server (customer’s on-premise) or Bitbucket Data Centre (number of servers in customers on-premise or cloud environment Context: https://bitbucket.org/product/, https://bitbucket.org/product/guides/basics/bitbucket-interface#your-work, https://bitbucket.org/product/guides/getting-started/overview#a-brief-overview-of-bitbucket, https://www.atlassian.com/git/tutorials/learn-git-with-bitbucket-cloud, https://www.youtube.com/watch?v=M44nEyd_5To, https://www.youtube.com/watch?v=i5T-DB8tb4A, https://app.daily.dev/tags/bitbucket?ref=roadmapsh"
What is Intro to Relational Databases?,"A relational database is a type of database that stores and provides access to data points that are related to one another. Relational databases store data in a series of tables. Interconnections between the tables are specified as foreign keys. A foreign key is a unique reference from one row in a relational table to another row in a table, which can be the same table but is most commonly a different table. Context: https://www.edx.org/learn/relational-databases/stanford-university-databases-relational-databases-and-sql, https://www.ibm.com/topics/relational-databases, https://learnsql.com/blog/codd-article-databases/, https://www.udacity.com/course/intro-to-relational-databases--ud197, https://www.youtube.com/watch?v=OqjJjpjDRLc, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is MySQL?,"MySQL is an incredibly popular open source relational database management system (RDBMS). MySQL can be used as a stand-alone client or in conjunction with other services to provide database connectivity. The M in LAMP stack stands for MySQL; that alone should provide an idea of its prevalence. Context: https://www.mysql.com/, https://www.w3schools.com/mySQl/default.asp, https://planetscale.com/learn/courses/mysql-for-developers, https://www.mysqltutorial.org/, https://www.youtube.com/watch?v=7S_tz1z_5bA, https://app.daily.dev/tags/mysql?ref=roadmapsh"
What is MariaDB?,"MariaDB server is a community developed fork of MySQL server. Started by core members of the original MySQL team, MariaDB actively works with outside developers to deliver the most featureful, stable, and sanely licensed open SQL server in the industry. MariaDB was created with the intention of being a more versatile, drop-in replacement version of MySQL Context: https://mariadb.org/, https://www.guru99.com/mariadb-vs-mysql.html, https://www.w3schools.blog/mariadb-tutorial, https://www.youtube.com/watch?v=_AMj02sANpI, https://app.daily.dev/tags/infrastructure?ref=roadmapsh"
What is MS SQL?,"MS SQL (or Microsoft SQL Server) is the Microsoft developed relational database management system (RDBMS). MS SQL uses the T-SQL (Transact-SQL) query language to interact with the relational databases. There are many different versions and editions available of MS SQL Context: https://www.microsoft.com/en-ca/sql-server/, https://learn.microsoft.com/en-us/sql/sql-server/tutorials-for-sql-server-2016?view=sql-server-ver15, https://www.youtube.com/watch?v=-EPMOaV7h_Q"
What is Oracle?,"Oracle Database Server or sometimes called Oracle RDBMS or even simply Oracle is a world leading relational database management system produced by Oracle Corporation. Context: https://www.oracle.com/database/, https://docs.oracle.com/en/database/index.html, https://www.youtube.com/watch?v=ObbNGhcxXJA, https://app.daily.dev/tags/oracle?ref=roadmapsh"
What is PostgreSQL?,"PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance. Context: https://www.postgresql.org/, https://www.postgresqltutorial.com/, https://www.youtube.com/watch?v=qw--VYLpxG4, https://www.youtube.com/watch?v=eMIxuk0nOkU, https://app.daily.dev/tags/postgresql?ref=roadmapsh"
What is REST?,"REST, or Representational State Transfer, is an architectural style for providing standards between computer systems on the web, making it easier for systems to communicate with each other. Context: https://dev.to/cassiocappellari/fundamentals-of-rest-api-2nag, https://www.redhat.com/en/topics/api/what-is-a-rest-api, https://ics.uci.edu/~fielding/pubs/dissertation/rest_arch_style.htm, https://restapitutorial.com/, https://app.daily.dev/tags/rest-api?ref=roadmapsh"
What is JSON APIs?,"JSON or JavaScript Object Notation is an encoding scheme that is designed to eliminate the need for an ad-hoc code for each application to communicate with servers that communicate in a defined way. JSON API module exposes an implementation for data stores and data structures, such as entity types, bundles, and fields. Context: https://jsonapi.org/, https://jsonapi.org/implementations/, https://www.youtube.com/watch?v=N-4prIh7t38"
What is SOAP?,"Simple Object Access Protocol (SOAP) is a message protocol for exchanging information between systems and applications. When it comes to application programming interfaces (APIs), a SOAP API is developed in a more structured and formalized way. SOAP messages can be carried over a variety of lower-level protocols, including the web-related Hypertext Transfer Protocol (HTTP) Context: https://www.w3schools.com/xml/xml_soap.asp"
What is gRPC?,"gRPC is a high-performance, open source universal RPC framework. RPC stands for Remote Procedure Call, there’s an ongoing debate on what the g stands for. RPC is a protocol that allows a program to execute a procedure of another program located on another computer. The great advantage is that the developer doesn’t need to code the details of the remote interaction. The remote procedure is called like any other function. But the client and the server can be coded in different languages. Context: https://grpc.io/, https://grpc.io/docs/, https://www.wallarm.com/what/the-concept-of-grpc, https://www.youtube.com/watch?v=hVrwuMnCtok, https://app.daily.dev/tags/grpc?ref=roadmapsh"
What is GraphQL?,"GraphQL is a query language and runtime system for APIs (application programming interfaces). It is designed to provide a flexible and efficient way for clients to request data from servers, and it is often used as an alternative to REST (representational state transfer) APIs. One of the main features of GraphQL is its ability to specify exactly the data that is needed, rather than receiving a fixed set of data from an endpoint. This allows clients to request only the data that they need, and it reduces the amount of data that needs to be transferred over the network. GraphQL also provides a way to define the structure of the data that is returned from the server, allowing clients to request data in a predictable and flexible way. This makes it easier to build and maintain client applications that depend on data from the server. GraphQL is widely used in modern web and mobile applications, and it is supported by a large and active developer community. Context: https://graphql.org/, https://www.youtube.com/watch?v=eIQh02xuVw4, https://app.daily.dev/tags/graphql?ref=roadmapsh"
What is JWT?,"JWT stands for JSON Web Token is a token-based encryption open standard/methodology that is used to transfer information securely as a JSON object. Clients and Servers use JWT to securely share information, with the JWT containing encoded JSON objects and claims. JWT tokens are designed to be compact, safe to use within URLs, and ideal for SSO contexts. Context: https://jwt.io/, https://jwt.io/introduction, https://www.akana.com/blog/what-is-jwt, https://www.youtube.com/watch?v=7Q17ubqLfaM, https://www.youtube.com/watch?v=926mknSW9Lo, https://app.daily.dev/tags/jwt?ref=roadmapsh"
What is OAuth?,"OAuth stands for Open Authorization and is an open standard for authorization. It works to authorize devices, APIs, servers and applications using access tokens rather than user credentials, known as “secure delegated access”. In its most simplest form, OAuth delegates authentication to services like Facebook, Amazon, Twitter and authorizes third-party applications to access the user account without having to enter their login and password. It is mostly utilized for REST/APIs and only provides a limited scope of a user’s data. Context: https://developer.okta.com/blog/2017/06/21/what-the-heck-is-oauth, https://www.digitalocean.com/community/tutorials/an-introduction-to-oauth-2, https://www.youtube.com/watch?v=t4-416mg6iU, https://www.youtube.com/watch?v=CPbvxxslDTU, https://app.daily.dev/tags/oauth?ref=roadmapsh"
What is Basic Authentication?,"Given the name “Basic Authentication”, you should not confuse Basic Authentication with the standard username and password authentication. Basic authentication is a part of the HTTP specification, and the details can be found in the RFC7617. Because it is a part of the HTTP specifications, all the browsers have native support for “HTTP Basic Authentication”. Context: https://roadmap.sh/guides/http-basic-authentication, https://www.youtube.com/watch?v=mwccHwUn7Gc, https://app.daily.dev/tags/authentication?ref=roadmapsh"
What is Token Authentication?,"Token-based authentication is a protocol which allows users to verify their identity, and in return receive a unique access token. During the life of the token, users then access the website or app that the token has been issued for, rather than having to re-enter credentials each time they go back to the same webpage, app, or any resource protected with that same token. Auth tokens work like a stamped ticket. The user retains access as long as the token remains valid. Once the user logs out or quits an app, the token is invalidated. Token-based authentication is different from traditional password-based or server-based authentication techniques. Tokens offer a second layer of security, and administrators have detailed control over each action and transaction. But using tokens requires a bit of coding know-how. Most developers pick up the techniques quickly, but there is a learning curve. Context: https://www.okta.com/identity-101/what-is-token-based-authentication/, https://app.daily.dev/tags/authentication?ref=roadmapsh, https://www.google.com/search?q=token%20authentication%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=token+authentication+for+backend+developer"
What is Cookie-Based Authentication?,"Cookies are pieces of data used to identify the user and their preferences. The browser returns the cookie to the server every time the page is requested. Specific cookies like HTTP cookies are used to perform cookie-based authentication to maintain the session for each user. Context: https://stackoverflow.com/questions/17769011/how-does-cookie-based-authentication-work, https://www.google.com/search?q=cookie-based%20authentication%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=cookie-based+authentication+for+backend+developer"
What is OpenID?,"OpenID is a protocol that utilizes the authorization and authentication mechanisms of OAuth 2.0 and is now widely adopted by many identity providers on the Internet. It solves the problem of needing to share user’s personal info between many different web services(e.g. online shops, discussion forums etc. Context: https://openid.net/, https://openid.net/developers/how-connect-works/, https://www.securew2.com/blog/oauth-vs-openid-which-is-better, https://www.youtube.com/watch?v=t18YB3xDfXI, https://www.youtube.com/watch?v=996OiexHze0, https://app.daily.dev/tags/authentication?ref=roadmapsh"
What is SAML?,"SAML stands for Security Assertion Markup Language. It is an XML-based standard for exchanging authentication and authorization data between parties, particularly between an identity provider (IdP) and a service provider (SP). In a SAML-based system, a user requests access to a protected resource. The service provider asks the identity provider to authenticate the user and assert whether they are granted access to the resource. Context: https://www.google.com/search?q=%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=+for+backend+developer"
What is HATEOAS?,"HATEOAS is an acronym for Hypermedia As The Engine Of Application State, it’s the concept that when sending information over a RESTful API the document received should contain everything the client needs in order to parse and use the data that is they don’t have to contact any other endpoint not explicitly mentioned within the Document. Context: https://restcookbook.com/Basics/hateoas/, https://www.google.com/search?q=hateoas%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=hateoas+for+backend+developer"
What is OpenAPI?,"The OpenAPI Specification (OAS) defines a standard, language-agnostic interface to RESTful APIs which allows both humans and computers to discover and understand the capabilities of the service without access to source code, documentation, or through network traffic inspection. When properly defined, a consumer can understand and interact with the remote service with a minimal amount of implementation logic. An OpenAPI definition can then be used by documentation generation tools to display the API, code generation tools to generate servers and clients in various programming languages, testing tools, and many other use cases. Context: https://swagger.io/specification/, https://swagger.io/tools/swagger-editor/, https://swagger.io/docs/specification/about/, https://www.youtube.com/watch?v=6kwmW_p_Tig"
What is Intro to Caching?,"Caching is a technique of storing frequently used data or results of complex computations in a local memory, for a certain period. So, next time, when the client requests the same information, instead of retrieving the information from the database, it will give the information from the local memory. The main advantage of caching is that it improves performance by reducing the processing burden. NB! Caching is a complicated topic that has obvious benefits but can lead to pitfalls like stale data, cache invalidation, distributed caching etc. Context: https://www.google.com/search?q=caching%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=caching+for+backend+developer"
What is Server_Side_p?,"Server-side caching temporarily stores web files and data on the origin server to reuse later. When the user first requests for the webpage, the website goes under the normal process of retrieving data from the server and generates or constructs the webpage of the website. After the request has happened and the response has been sent back, the server copies the webpage and stores it as a cache. Next time the user revisits the website, it loads the already saved or cached copy of the webpage, thus making it faster. Context: https://www.naukri.com/code360/library/server-side-caching-and-client-side-caching, https://medium.com/@genchilu/cache-strategy-in-backend-d0baaacd2d79, https://redis.io/glossary/distributed-caching/, https://medium.com/@himani.prasad016/caching-in-hibernate-3ad4f479fcc0, https://app.daily.dev/tags/webdev?ref=roadmapsh"
What is ServerSide_Memcached_g?,"Memcached (pronounced variously mem-cash-dee or mem-cashed) is a general-purpose distributed memory-caching system. It is often used to speed up dynamic database-driven websites by caching data and objects in RAM to reduce the number of times an external data source (such as a database or API) must be read. Memcached is free and open-source software, licensed under the Revised BSD license. Memcached runs on Unix-like operating systems (Linux and macOS) and on Microsoft Windows. It depends on the libevent library. Memcached’s APIs provide a very large hash table distributed across multiple machines. When the table is full, subsequent inserts cause older data to be purged in the least recently used (LRU) order. Applications using Memcached typically layer requests and additions into RAM before falling back on a slower backing store, such as a database. Memcached has no internal mechanism to track misses which may happen. However, some third-party utilities provide this functionality. Context: https://github.com/memcached/memcached#readme, https://en.wikipedia.org/wiki/Memcached, https://www.tutorialspoint.com/memcached/index.htm"
What is Server_Side_Redis_p?,"Redis is an open source (BSD licensed), in-memory data structure store used as a database, cache, message broker, and streaming engine. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster. Context: https://redis.io/, https://www.youtube.com/watch?v=G1rOthIU-uo, https://app.daily.dev/tags/redis?ref=roadmapsh"
What is CDN_p?,"A Content Delivery Network (CDN) service aims to provide high availability and performance improvements of websites. This is achieved with fast delivery of website assets and content typically via geographically closer endpoints to the client requests. Traditional commercial CDNs (Amazon CloudFront, Akamai, CloudFlare and Fastly) provide servers across the globe which can be used for this purpose. Serving assets and contents via a CDN reduces bandwidth on website hosting, provides an extra layer of caching to reduce potential outages and can improve website security as well Context: https://www.cloudflare.com/en-ca/learning/cdn/what-is-a-cdn/, https://en.wikipedia.org/wiki/Content_delivery_network, https://www.youtube.com/watch?v=841kyd_mfH0, https://www.youtube.com/watch?v=Bsq5cKkS33I"
What is Client-side_p?,"Client-side caching is the storage of network data to a local cache for future re-use. After an application fetches network data, it stores that resource in a local cache. Once a resource has been cached, the browser uses the cache on future requests for that resource to boost performance. Context: https://www.youtube.com/watch?v=HiBDZgTNpXY, https://www.google.com/search?q=client%20side%20caching%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=client+side+caching+for+backend+developer"
What is Intro to Web Security?,"Web security refers to the protective measures taken by the developers to protect the web applications from threats that could affect the business. Context: https://github.com/0xRadi/OWASP-Web-Checklist, https://web.dev/articles/why-https-matters, https://sucuri.net/guides/owasp-top-10-security-vulnerabilities-2020/, https://en.wikipedia.org/wiki/OWASP, https://cheatsheetseries.owasp.org/cheatsheets/AJAX_Security_Cheat_Sheet.html, https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP, https://app.daily.dev/tags/security?ref=roadmapsh"
What is MD5?,"MD5 (Message-Digest Algorithm 5) is a hash function that is currently advised not to be used due to its extensive vulnerabilities. It is still used as a checksum to verify data integrity. Context: https://en.wikipedia.org/wiki/MD5, https://www.techtarget.com/searchsecurity/definition/MD5, https://infosecscout.com/why-md5-is-not-safe/"
What is SHA?,"SHA (Secure Hash Algorithms) is a family of cryptographic hash functions created by the NIST (National Institute of Standards and Technology). The family includes: SHA-0: Published in 1993, this is the first algorithm in the family. Shortly after its release, it was discontinued for an undisclosed significant flaw. SHA-1: Created to replace SHA-0 and which resembles MD5, this algorithm has been considered insecure since 2010. SHA-2: This isn’t an algorithm, but a set of them, with SHA-256 and SHA-512 being the most popular. SHA-2 is still secure and widely used. SHA-3: Born in a competition, this is the newest member of the family. SHA-3 is very secure and doesn’t carry the same design flaws as its brethren. Context: https://en.wikipedia.org/wiki/SHA-1, https://en.wikipedia.org/wiki/SHA-2, https://en.wikipedia.org/wiki/SHA-3"
What is Scrypt?,"Scrypt (pronounced “ess crypt”) is a password hashing function (like bcrypt). It is designed to use a lot of hardware, which makes brute-force attacks more difficult. Scrypt is mainly used as a proof-of-work algorithm for cryptocurrencies. Context: https://en.wikipedia.org/wiki/Scrypt, https://www.google.com/search?q=scrypt%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=scrypt+for+backend+developer"
What is Bcrypt?,"bcrypt is a password hashing function, that has been proven reliable and secure since it’s release in 1999. It has been implemented into most commonly-used programming languages. Context: https://www.npmjs.com/package/bcrypt, https://auth0.com/blog/hashing-in-action-understanding-bcrypt/, https://www.youtube.com/watch?v=O6cmuiTBZVs"
What is HTTPS?,"HTTPS is a secure way to send data between a web server and a browser. A communication through HTTPS starts with the handshake phase during which the server and the client agree on how to encrypt the communication, in particular they choose an encryption algorithm and a secret key. After the handshake all the communication between the server and the client will be encrypted using the agreed upon algorithm and key. The handshake phase uses a particular kind of cryptography, called asymmetric cryptography, to communicate securely even though client and server have not yet agreed on a secret key. After the handshake phase the HTTPS communication is encrypted with symmetric cryptography, which is much more efficient but requires client and server to both have knowledge of the secret key. Context: https://www.cloudflare.com/en-gb/learning/ssl/what-is-https/, https://web.dev/articles/why-https-matters, https://web.dev/articles/enable-https, https://howhttps.works/, https://baida.dev/articles/https-explained-with-carrier-pigeons, https://www.youtube.com/watch?v=hExRDVZHhig, https://www.youtube.com/watch?v=GoXgl9r0Kjk"
What is OWASP?,"OWASP or Open Web Application Security Project is an online community that produces freely-available articles, methodologies, documentation, tools, and technologies in the field of web application security. Context: https://github.com/OWASP/ASVS, https://en.wikipedia.org/wiki/OWASP, https://cheatsheetseries.owasp.org/IndexTopTen.html, https://cheatsheetseries.owasp.org/cheatsheets/AJAX_Security_Cheat_Sheet.html"
What is CORS?,"Cross-Origin Resource Sharing (CORS) is an HTTP-header based mechanism that allows a server to indicate any origins (domain, scheme, or port) other than its own from which a browser should permit loading resources. Context: https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS, https://rbika.com/blog/understanding-cors, https://www.youtube.com/watch?v=4KHiSt0oLJ0, https://www.youtube.com/watch?v=PNtFSVU-YTI"
What is SSL/TLS?,"Secure Sockets Layer (SSL) and Transport Layer Security (TLS) are cryptographic protocols used to provide security in internet communications. These protocols encrypt the data that is transmitted over the web, so anyone who tries to intercept packets will not be able to interpret the data. One difference that is important to know is that SSL is now deprecated due to security flaws, and most modern web browsers no longer support it. But TLS is still secure and widely supported, so preferably use TLS. Context: https://en.wikipedia.org/wiki/Transport_Layer_Security, https://www.cloudflare.com/learning/ssl/what-is-ssl/, https://www.youtube.com/watch?v=j9QmMEWmcfo"
What is CSP?,"Content Security Policy is a computer security standard introduced to prevent cross-site scripting, clickjacking and other code injection attacks resulting from execution of malicious content in the trusted web page context. Context: https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP, https://web.dev/articles/csp, https://app.daily.dev/tags/security?ref=roadmapsh"
What is Server Security?,"Learn about the security of your server and how to secure it. Here are some of the topics off the top of my head: Use a firewall: One of the most effective ways to secure a server is to use a firewall to block all unnecessary incoming traffic. You can use iptables on Linux systems or a hardware firewall to do this. Close unnecessary ports: Make sure to close any ports that are not needed for your server to function properly. This will reduce the attack surface of your server and make it more difficult for attackers to gain access. Use strong passwords: Use long, complex passwords for all of your accounts, and consider using a password manager to store them securely. Keep your system up to date: Make sure to keep your operating system and software up to date with the latest security patches. This will help to prevent vulnerabilities from being exploited by attackers. Use SSL/TLS for communication: Use Secure Sockets Layer (SSL) or Transport Layer Security (TLS) to encrypt communication between your server and client devices. This will help to protect against man-in-the-middle attacks and other types of cyber threats. Use a intrusion detection system (IDS): An IDS monitors network traffic and alerts you to any suspicious activity, which can help you to identify and respond to potential threats in a timely manner. Enable two-factor authentication: Two-factor authentication adds an extra layer of security to your accounts by requiring a second form of authentication, such as a code sent to your phone, in addition to your password. Context: https://www.google.com/search?q=server%20security%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=server+security+for+backend+developer"
